CustomerID,Recency,Frequency,Monetary,Recency_Activity,TotalQuantity,UniqueItems,Num_Morning,Percent_Morning,Num_Afternoon,Percent_Afternoon,Country_UK,Time,Num_weekend,Percent_weekend,Days,Frequency_Activity,Quarter,Num_4q,Percent_4q,Num_1q,Percent_1q,Num_2q,Percent_2q,Num_3q,Percent_3q,Monetary_Activity
12346,326,1,77183.6,1,74215,1,1,1.0,0,0.0,1,['Morning'],0,0.0,['Tuesday'],4,[1],0,0.0,1,1.0,0,0.0,0,0.0,4
12347,2,182,4309.999999999997,4,2458,103,46,0.25274725274725274,136,0.7472527472527473,0,['Afternoon' 'Morning'],0,0.0,['Tuesday' 'Wednesday' 'Thursday' 'Monday'],1,[4 1 2 3],89,0.489010989010989,29,0.15934065934065933,42,0.23076923076923078,22,0.12087912087912088,4
12348,75,31,1797.24,2,2341,22,11,0.3548387096774194,20,0.6451612903225806,0,['Afternoon' 'Morning'],3,0.0967741935483871,['Thursday' 'Tuesday' 'Sunday'],3,[4 1 2 3],17,0.5483870967741935,6,0.1935483870967742,5,0.16129032258064516,3,0.0967741935483871,4
12349,19,73,1757.55,3,631,73,73,1.0,0,0.0,0,['Morning'],0,0.0,['Monday'],2,[4],73,1.0,0,0.0,0,0.0,0,0.0,4
12350,310,17,334.40000000000003,1,197,17,0,0.0,17,1.0,0,['Afternoon'],0,0.0,['Wednesday'],4,[1],0,0.0,17,1.0,0,0.0,0,0.0,2
12352,36,85,2506.040000000001,3,536,59,0,0.0,85,1.0,0,['Afternoon'],0,0.0,['Wednesday' 'Tuesday' 'Thursday'],2,[1 3 4],15,0.17647058823529413,38,0.4470588235294118,0,0.0,32,0.3764705882352941,4
12353,204,4,89.0,1,20,4,0,0.0,4,1.0,0,['Afternoon'],0,0.0,['Thursday'],4,[2],0,0.0,0,0.0,4,1.0,0,0.0,1
12354,232,58,1079.4,1,530,58,0,0.0,58,1.0,0,['Afternoon'],0,0.0,['Thursday'],2,[2],0,0.0,0,0.0,58,1.0,0,0.0,3
12355,214,13,459.4,1,240,13,0,0.0,13,1.0,0,['Afternoon'],0,0.0,['Monday'],4,[2],0,0.0,0,0.0,13,1.0,0,0.0,2
12356,23,59,2811.4300000000007,3,1591,53,38,0.6440677966101694,21,0.3559322033898305,0,['Morning' 'Afternoon'],0,0.0,['Tuesday' 'Friday' 'Thursday'],2,[1 2 4],2,0.03389830508474576,36,0.6101694915254238,21,0.3559322033898305,0,0.0,4
