CustomerID,Recency,Frequency,Monetary
12346,326,1,77183.6
12347,2,182,4309.999999999997
12348,75,31,1797.24
12349,19,73,1757.55
12350,310,17,334.40000000000003
12352,36,85,2506.040000000001
12353,204,4,89.0
12354,232,58,1079.4
12355,214,13,459.4
12356,23,59,2811.4300000000007
12357,33,131,6207.669999999996
12358,2,19,1168.06
12359,58,248,6372.580000000005
12360,52,129,2662.0600000000004
12361,287,10,189.89999999999998
12362,3,266,5226.230000000003
12363,110,23,552.0
12364,8,85,1313.1000000000001
12365,291,22,641.38
12367,4,11,168.9
12370,51,167,3545.689999999998
12371,45,63,1887.9600000000003
12372,72,52,1298.0400000000002
12373,311,14,364.6
12374,25,33,742.93
12375,11,17,457.5000000000001
12377,315,77,1628.1199999999997
12378,130,219,4008.6200000000013
12379,82,40,852.2399999999997
12380,22,104,2724.81
12381,5,87,1845.3100000000006
12383,185,99,1850.5599999999997
12384,29,27,585.2700000000001
12386,338,10,401.90000000000003
12388,16,100,2780.6600000000003
12390,80,32,549.8399999999999
12391,22,100,460.88999999999993
12393,72,64,1582.6000000000004
12394,64,27,1272.48
12395,19,156,3018.6299999999987
12397,36,126,2409.9000000000005
12398,46,85,1635.6599999999999
12399,119,59,1108.65
12401,303,5,84.3
12402,323,11,225.6
12403,50,5,427.7
12405,149,54,1710.3900000000006
12406,22,105,3415.300000000001
12407,50,77,1708.1199999999997
12408,33,105,2888.5500000000006
12409,79,109,11072.670000000002
12410,309,26,693.3299999999999
12412,75,61,1226.8799999999999
12413,67,38,758.0999999999999
12414,217,18,562.41
12415,24,714,124914.52999999975
12417,3,192,3649.1
12418,113,34,668.5799999999997
12420,64,29,600.3900000000001
12421,16,45,807.0400000000002
12422,96,39,803.5599999999998
12423,1,125,1859.3100000000002
12424,163,30,1760.9599999999998
12425,78,36,777.1999999999999
12426,195,30,582.7299999999999
12427,22,31,825.8000000000002
12428,26,294,7956.460000000004
12429,9,97,3750.400000000001
12430,43,11,256.4
12431,36,235,6487.449999999999
12432,43,108,5059.3200000000015
12433,1,420,13375.869999999992
12434,85,50,806.14
12435,80,36,7829.889999999998
12436,100,16,509.01000000000005
12437,2,199,4951.409999999997
12438,14,98,2906.8500000000004
12441,367,11,173.55
12442,3,12,172.06
12444,21,176,5005.46
12445,22,4,133.4
12446,58,57,1002.3099999999998
12447,243,26,476.49
12448,44,22,449.4500000000001
12449,22,191,4067.2900000000013
12450,156,8,197.88
12451,11,354,9035.519999999999
12452,17,22,430.57000000000005
12453,134,43,707.0899999999999
12454,56,15,3528.34
12455,73,90,2466.859999999997
12456,44,125,3181.039999999998
12457,66,62,2363.2299999999996
12458,71,38,947.4000000000001
12461,94,35,826.8800000000001
12462,19,62,1189.5900000000001
12463,53,83,1344.7799999999997
12464,10,29,1212.0499999999997
12465,17,47,742.1900000000002
12468,188,38,729.54
12471,2,460,19824.049999999945
12472,32,339,6572.110000000003
12473,29,168,3938.55
12474,17,424,7375.789999999998
